Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-08-02,101.80703840342524,102.63937045269815,101.76850637400024,102.17311096191406,1240983,0,0
TataPower,2010-08-03,102.88598099349906,102.88598099349906,101.92263159893511,102.38504028320312,942366,0,0
TataPower,2010-08-04,102.65479132584058,103.42548070043478,101.92264616875067,102.78195190429688,2919243,0,0
TataPower,2010-08-05,103.19427069963892,103.57960317996148,102.03824279375233,102.21549987792969,5127691,0,0
TataPower,2010-08-06,102.7858258948932,103.1172112,101.80705491471154,101.99201965332031,3258936,0,0
TataPower,2010-08-09,101.95347081185722,102.45056692193964,101.88411437352825,102.1923828,1247894,0,0
TataPower,2010-08-10,102.34651969300222,102.90525850477148,101.75694428959522,102.48524475097656,1689907,0,0
TataPower,2010-08-11,102.34653024859571,104.42736977491627,102.12303348224071,102.84362030029297,3022764,0,0
TataPower,2010-08-12,102.88599666234258,103.25592610328805,101.54886691412558,102.49295043945312,3807351,0,0
TataPower,2010-08-13,102.1153129734146,103.26362106916247,100.89763625729313,102.25788879394531,2610678,0,0
TataPower,2010-08-16,102.96949386427757,102.96949386427757,101.97790439007125,102.27732849121094,2057310,1.158021,0
TataPower,2010-08-17,101.49960997563004,102.68951609570284,97.75102295,101.97013092041016,3865817,0,0
TataPower,2010-08-18,102.34732206950858,102.65840389379646,101.19629964415155,102.1878890991211,2111516,0,0
TataPower,2010-08-19,102.93060598662106,102.93060598662106,100.36025511541801,101.22740936279297,3174275,0,0
TataPower,2010-08-20,100.69079119256165,101.18074785274985,99.92085227,100.30970764160156,2294166,0,0
TataPower,2010-08-23,101.10298223219728,101.71737409735614,99.46978103921835,100.27471160888672,2847192,0,0
TataPower,2010-08-24,100.32527637567586,100.61303049336014,99.15870396652541,99.50478363,1846640,0,0
TataPower,2010-08-25,98.84761311537275,99.53589266,97.05887086,97.63049316,3721394,0,0
TataPower,2010-08-26,97.91435444310014,99.78087023,96.86833137191121,98.87483215332031,5954070,0,0
TataPower,2010-08-27,99.16648229,99.53978177055491,95.65898707835967,96.26949310302734,2943616,0,0
TataPower,2010-08-30,96.82554714059103,97.50993456279504,93.89744645,95.71730041503906,2727132,0,0
TataPower,2010-08-31,94.95905284624483,95.8845329,94.41465028,95.06793212890625,2044098,0,0
TataPower,2010-09-01,95.50343438050572,97.10941584674191,94.90848432925686,96.35892486572266,2188075,0,0
